Time,Point,ts_id
4/15/21 7:00,723.9577778,1
4/15/21 8:00,758.1969444,1
4/15/21 9:00,741.8422222,1
4/15/21 10:00,675.4044444,1
4/15/21 11:00,661.2197222,1
4/15/21 12:00,705.3077778,1
4/15/21 13:00,672.465,1
4/15/21 14:00,727.7313889,1
4/15/21 15:00,734.6563889,1
4/15/21 16:00,655.8569444,1
4/15/21 17:00,614.3622222,1
4/15/21 18:00,758.5244444,1
4/15/21 19:00,712.8519444,1
4/15/21 20:00,691.7922222,1
4/15/21 21:00,930.2013889,1
4/15/21 22:00,723.1130556,1
4/15/21 23:00,655.0947222,1
4/16/21 0:00,727.2408333,1
4/16/21 1:00,659.8438889,1
4/16/21 2:00,654.1116667,1
4/16/21 3:00,686.2386111,1
4/16/21 4:00,631.3763889,1
4/16/21 5:00,658.5669444,1
4/16/21 6:00,654.9677778,1
4/16/21 7:00,647.5788889,1
4/16/21 8:00,684.4130556,1
4/16/21 9:00,640.0863889,1
4/16/21 10:00,641.6494444,1
4/16/21 11:00,647.1702778,1
4/16/21 12:00,664.1291667,1
4/16/21 13:00,651.6425,1
4/16/21 14:00,663.1552778,1
4/16/21 15:00,708.8733333,1
4/16/21 16:00,627.4794444,1
4/16/21 17:00,642.7375,1
4/16/21 18:00,744.3919444,1
4/16/21 19:00,699.7552778,1
4/16/21 20:00,686.5125,1
4/16/21 21:00,927.6711111,1
4/16/21 22:00,704.3877778,1
4/16/21 23:00,634.8525,1
4/17/21 0:00,674.1761111,1
4/17/21 1:00,644.2833333,1
4/17/21 2:00,651.5836111,1
4/17/21 3:00,632.9197222,1
4/17/21 4:00,591.9783333,1
4/17/21 5:00,605.3447222,1
4/17/21 6:00,566.54,1
4/17/21 7:00,575.2413889,1
4/17/21 8:00,612.3138889,1
4/17/21 9:00,571.4516667,1
4/17/21 10:00,566.2038889,1
4/17/21 11:00,594.3694444,1
4/17/21 12:00,602.7086111,1
4/17/21 13:00,584.7597222,1
4/17/21 14:00,604.1841667,1
4/17/21 15:00,617.0205556,1
4/17/21 16:00,561.1772222,1
4/17/21 17:00,570.0225,1
4/17/21 18:00,692.0158333,1
4/17/21 19:00,629.2175,1
4/17/21 20:00,620.7380556,1
4/17/21 21:00,843.3180556,1
4/17/21 22:00,671.3047222,1
4/17/21 23:00,585.7522222,1
4/18/21 0:00,662.9586111,1
4/18/21 1:00,511.7286111,1
4/18/21 2:00,623.675,1
4/18/21 3:00,621.4925,1
4/18/21 4:00,625.5533333,1
4/18/21 5:00,625.7219444,1
4/18/21 6:00,609.6236111,1
4/18/21 7:00,585.5508333,1
4/18/21 8:00,603.4538889,1
4/18/21 9:00,580.4791667,1
4/18/21 10:00,548.8108333,1
4/18/21 11:00,553.9122222,1
4/18/21 12:00,559.0333333,1
4/18/21 13:00,536.6877778,1
4/18/21 14:00,586.6463889,1
4/18/21 15:00,647.9961111,1
4/18/21 16:00,573.3408333,1
4/18/21 17:00,584.6813889,1
4/18/21 18:00,679.2677778,1
4/18/21 19:00,652.7369444,1
4/18/21 20:00,628.67,1
4/18/21 21:00,873.3297222,1
4/18/21 22:00,667.8633333,1
4/18/21 23:00,569.8072222,1
4/19/21 0:00,682.3777778,1
4/19/21 1:00,633.0711111,1
4/19/21 2:00,653.7586111,1
4/19/21 3:00,676.3386111,1
4/19/21 4:00,647.4525,1
4/19/21 5:00,672.6469444,1
4/19/21 6:00,679.4869444,1
4/19/21 7:00,708.4847222,1
4/19/21 8:00,759.645,1
4/19/21 9:00,757.3211111,1
4/19/21 10:00,701.9127778,1
4/19/21 11:00,712.4363889,1
4/19/21 12:00,693.3858333,1
4/19/21 13:00,719.7552778,1
4/19/21 14:00,752.7986111,1
4/19/21 15:00,807.3925,1
4/19/21 16:00,737.1744444,1
4/19/21 17:00,767.1608333,1
4/19/21 18:00,849.0516667,1
4/19/21 19:00,773.1025,1
