item_id,timestamp,value
ts1,2021-04-13 19:00:00,708.3930556
ts1,2021-04-13 20:00:00,677.2336111000001
ts1,2021-04-13 21:00:00,816.7055556
ts1,2021-04-13 22:00:00,688.725
ts1,2021-04-13 23:00:00,655.3925
ts1,2021-04-14 00:00:00,706.1144444
ts1,2021-04-14 01:00:00,598.3547222
ts1,2021-04-14 02:00:00,636.9827778
ts1,2021-04-14 03:00:00,673.3813888999999
ts1,2021-04-14 04:00:00,604.085
ts1,2021-04-14 05:00:00,630.6386111
ts1,2021-04-14 06:00:00,656.0538889
ts1,2021-04-14 07:00:00,682.1158333
ts1,2021-04-14 08:00:00,667.4047222
ts1,2021-04-14 09:00:00,643.0977778
ts1,2021-04-14 10:00:00,642.305
ts1,2021-04-14 11:00:00,1215.7125
ts1,2021-04-14 12:00:00,1512.2688890000002
ts1,2021-04-14 13:00:00,586.7772222
ts1,2021-04-14 14:00:00,648.8430556
ts1,2021-04-14 15:00:00,680.9944444
ts1,2021-04-14 16:00:00,637.9991667
ts1,2021-04-14 17:00:00,647.6075
ts1,2021-04-14 18:00:00,731.5275
ts1,2021-04-14 19:00:00,712.4597222
ts1,2021-04-14 20:00:00,712.0711111
ts1,2021-04-14 21:00:00,951.3441667000001
ts1,2021-04-14 22:00:00,787.8422222
ts1,2021-04-14 23:00:00,637.5475
ts1,2021-04-15 00:00:00,688.7391667
ts1,2021-04-15 01:00:00,665.2708332999999
ts1,2021-04-15 02:00:00,651.8041667
ts1,2021-04-15 03:00:00,651.9808333
ts1,2021-04-15 04:00:00,643.1058333
ts1,2021-04-15 05:00:00,670.4636111000001
ts1,2021-04-15 06:00:00,680.4125
ts1,2021-04-15 07:00:00,723.9577778
ts1,2021-04-15 08:00:00,758.1969444
ts1,2021-04-15 09:00:00,741.8422222
ts1,2021-04-15 10:00:00,675.4044444
ts1,2021-04-15 11:00:00,661.2197222
ts1,2021-04-15 12:00:00,705.3077777999999
ts1,2021-04-15 13:00:00,672.465
ts1,2021-04-15 14:00:00,727.7313889
ts1,2021-04-15 15:00:00,734.6563888999999
ts1,2021-04-15 16:00:00,655.8569444
ts1,2021-04-15 17:00:00,614.3622222
ts1,2021-04-15 18:00:00,758.5244444
ts1,2021-04-15 19:00:00,712.8519444
ts1,2021-04-15 20:00:00,691.7922222
ts1,2021-04-15 21:00:00,930.2013889000001
ts1,2021-04-15 22:00:00,723.1130555999999
ts1,2021-04-15 23:00:00,655.0947222
ts1,2021-04-16 00:00:00,727.2408333
ts1,2021-04-16 01:00:00,659.8438888999999
ts1,2021-04-16 02:00:00,654.1116667
ts1,2021-04-16 03:00:00,686.2386111000001
ts1,2021-04-16 04:00:00,631.3763888999999
ts1,2021-04-16 05:00:00,658.5669444
ts1,2021-04-16 06:00:00,654.9677778
ts1,2021-04-16 07:00:00,647.5788888999999
ts1,2021-04-16 08:00:00,684.4130556
ts1,2021-04-16 09:00:00,640.0863889
ts1,2021-04-16 10:00:00,641.6494444
ts1,2021-04-16 11:00:00,647.1702778
ts1,2021-04-16 12:00:00,664.1291667
ts1,2021-04-16 13:00:00,651.6425
ts1,2021-04-16 14:00:00,663.1552778
ts1,2021-04-16 15:00:00,708.8733333
ts1,2021-04-16 16:00:00,627.4794444
ts1,2021-04-16 17:00:00,642.7375
ts1,2021-04-16 18:00:00,744.3919444
ts1,2021-04-16 19:00:00,699.7552778
ts1,2021-04-16 20:00:00,686.5125
ts1,2021-04-16 21:00:00,927.6711111
ts1,2021-04-16 22:00:00,704.3877778
ts1,2021-04-16 23:00:00,634.8525
ts1,2021-04-17 00:00:00,674.1761111000001
ts1,2021-04-17 01:00:00,644.2833333
ts1,2021-04-17 02:00:00,651.5836111000001
ts1,2021-04-17 03:00:00,632.9197222
ts1,2021-04-17 04:00:00,591.9783332999999
ts1,2021-04-17 05:00:00,605.3447222
ts1,2021-04-17 06:00:00,566.54
ts1,2021-04-17 07:00:00,575.2413889
ts1,2021-04-17 08:00:00,612.3138888999999
ts1,2021-04-17 09:00:00,571.4516667
ts1,2021-04-17 10:00:00,566.2038888999999
ts1,2021-04-17 11:00:00,594.3694444
ts1,2021-04-17 12:00:00,602.7086111000001
ts1,2021-04-17 13:00:00,584.7597222
ts1,2021-04-17 14:00:00,604.1841667
ts1,2021-04-17 15:00:00,617.0205556
ts1,2021-04-17 16:00:00,561.1772222
